aan de grond;abnormal
neergangen;embarrassingly
neergestort;embarrassment
neerslachtig;embattled
neerslag;embroil
negatief;embroiled
negatieven;embroilment
negativiteit;emergency
negeren;emphatic
nep;emphatically
nepotisme;emptiness
nerveus;encroach
neuken;encroachment
neurotisch;endanger
nevel;enemies
nevelig;enemy
niet-bestaand;enervate
niet-conform;enfeeble
niet-reagerend;enflame
nietsdoen;engulf
nietsvermoedend;enjoin
nieuwsgierig;enmity
noodlottig;enrage
noodsituatie;enraged
nuchter;enraging
nutteloos;enslave
nutteloosheid;entangle
object;entanglement
obsceen;entrap
obsceniteit;entrapment
obsessief;envious
obsessiefheid;enviously
obstakel;enviousness
omhuld;epidemic
omhullen;equivocal
omkeren;erase
omkoperij;erode
omkoping;erodes
omstreden;erosion
omvang;err
omvangrijk;errant
omvangrijkheid;erratic
omverwerpen;erratically
onaangenaam;erroneous
onaangenaamd;erroneously
onaangenaamheden;error
onaangepast;errors
onaangepastheid;eruptions
onaangeraakt;escapade
onaantrekkelijk;eschew
onaanvaardbaar;estranged
onachtzaam;evade
onachtzaamheid;evasion
onafgemaakt;evasive
onattent;evil
onauthentiek;evildoer
onbedacht;evils
onbedachtzaam;eviscerate
onbedoeld;exacerbate
onbeduidend;exagerate
onbeduidendheid;exagerated
onbegrijpelijk;exagerates
onbegrip;exaggerate
onbehaaglijk;exaggeration
onbeholpen;exasperate
onbehoorlijk;exasperated
onbehulpzaam;exasperating
onbekend;exasperatingly
onbekwaam;exasperation
onbekwaamheid;excessive
onbelangrijk;excessively
onbeleefd;exclusion
onbeleefdheid;excoriate
onbeminnelijk;excruciating
onbepaalbaar;excruciatingly
onbepaald;excuse
onbereikbaar;excuses
onbeschaafd;execrate
onbeschaamd;exhaust
onbeschaamdheid;exhausted
onbescheiden;exhaustion
onbeslissend;exhausts
onbeslissendheid;exhorbitant
onbeslist;exhort
onbesluitig;exile
onbestuurbaar;exorbitant
onbetaalbaar;exorbitantance
onbetreurenswaardig;exorbitantly
onbetrouwbaar;expel
onbetrouwbaarheid;expensive
onbevestigd;expire
onbevredigend;expired
onbeweeglijk;explode
onbewezen;exploit
onbewogen;exploitation
onbewust;explosive
onbezonnen;expropriate
onbezorgdheid;expropriation
onboetvaardig;expulse
onbruikbaar;expunge
onbuigzaam;exterminate
oncomfortabel;extermination
oncoöperatief;extinguish
oncreatief;extort
ondankbaar;extortion
ondankbaarheid;extraneous
onderbekrachtigd;extravagance
onderbetaald;extravagant
onderbieden;extravagantly
onderbreken;extremism
onderbreking;extremist
onderbrekingen;extremists
onderdak;eyesore
onderdanig;f**k
onderdanigheid;fabricate
onderdrukken;fabrication
onderdrukkend;facetious
onderdrukkers;facetiously
onderdrukking;fail
ondergang;failed
ondergeschikt;failing
ondergeschikten;fails
onderhandelen;failure
ondermaats;failures
ondermijnd;faint
ondermijnen;fainthearted
ondermijnend;faithless
ondermijning;fake
ondermijnt;fall
onderschatten;fallacies
onderwerpen;fallacious
onderwerping;fallaciously
onderworpen;fallaciousness
ondeskundig;fallacy
ondeugd;fallen
ondeugend;falling
ondraaglijk;fallout
onduidelijk;falls
oneconomisch;falsehood
oneens;falsely
oneerbiedig;falsify
oneerlijk;falter
oneerlijkheid;faltered
onelegant;famine
onelegantie;famished
onenigheid;fanatic
onervaren;fanatical
onervarenheid;fanatically
onessentieel;fanaticism
onethisch;fanatics
onevenredig;fanciful
onevenwichtigheid;farce
onfatsoenlijk;farcical
onfatsoenlijkheid;farcically
ongastvrij;farcical-yet-provocative
ongastvrijheid;farfetched
ongebruikelijk;far-fetched
ongecontroleerd;fascism
ongedaan;fascist
ongedefinieerd;fastidious
ongedocumenteerd;fastidiously
ongeduld;fastuous
ongeduldig;fat
ongeëvenaard;fatal
ongefinancierd;fatalistic
ongegrond;fatalistically
ongehoorzaam;fatally
ongehoorzaamheid;fatcat
ongeldig;fat-cat
ongeldigheid;fatcats
ongelijk;fat-cats
ongelijkheden;fateful
ongelijkheid;fatefully
ongelijkmatig;fathomless
ongeloof;fatigue
ongelooflijk;fatigued
ongeloofwaardig;fatique
ongelovig;fatty
ongelovige;fatuity
ongelovigen;fatuous
ongeluk;fatuously
ongelukkig;fault
ongemak;faults
ongemakkelijk;faulty
ongemakkelijkheid;fawningly
ongeoorloofd;faze
ongeorganiseerd;fear
ongepast;fearful
ongepastheid;fearfully
ongerechtvaardigd;fears
ongeschikt;fearsome
ongeschiktheid;feckless
ongetest;feeble
ongevoelig;feeblely
ongewend;feebleminded
ongewenst;feign
ongezellig;feint
ongezond;fell
ongracieus;felon
ongrondwettelijk;felonious
ongunstig;ferociously
onhandelbaar;ferocity
onhandig;fetid
onhandigheid;fever
onherstelbaar;feverish
onherstelbaarheden;fevers
onherstelbaarheid;fiasco
onhervormbaar;fib
onhoorbaar;fibber
onhoudbaar;fickle
oninvorderbaar;fiction
onjuist;fictional
onjuiste;fictitious
onjuistheden;fidget
onkijkbaar;fidgety
onkruid;fiend
onleesbaar;fiendish
onmatig;fierce
onmenselijk;figurehead
onmenselijkheid;filth
onmogelijk;filthy
onmogelijkheid;finagle
onnadenkendheid;finicky
onnatuurlijk;fissures
onnauwkeurig;fist
onnauwkeurigheid;flabbergast
onnobel;flabbergasted
onnodig;flagging
onnozel;flagrant
onnozelheid;flagrantly
ononderdrukbaar;flair
ononderscheidbaar;flairs
ononderscheidend;flak
onondersteunend;flake
onontkoombaar;flakey
onontwarbaar;flakieness
onopgelost;flaking
onopgemerkt;flaky
onophoudelijk;flare
onoplettend;flares
onoplosbaar;flareup
onoprecht;flareups
onoprechtheid;flat-out
onorthodox;flaunt
onorthodoxie;flaw
onoverkomelijk;flawed
onovertuigend;flaws
onpeilbaar;flee
onpersoonlijk;fleed
onpolitiek;fleeing
onpopulair;fleer
onpraktisch;flees
onprecies;fleeting
onproductief;flicering
onrechtmatig;flicker
onrechtvaardig;flickering
onrechtvaardigen;flickers
onrechtvaardigheid;flighty
onredelijk;flimflam
onregelmatig;flimsy
onregelmatigheid;flirt
onrein;flirty
onrendabel;floored
onrust;flounder
onrustig;floundering
onruststoker;flout
ons;fluster
onsmakelijk;foe
onsociaal;fool
ontbinding;fooled
ontbranden;foolhardy
ontdaan;foolish
ontduiken;foolishly
ontduiker;foolishness
onteigenen;forbid
onteigening;forbidden
ontevreden;forbidding
ontevredenerend;forceful
ontevredenheid;foreboding
ontgoocheld;forebodingly
ontgoocheling;forfeit
ontheiligen;forged
ontheiliger;forgetful
ontijdig;forgetfully
ontkend;forgetfulness
ontkennen;forlorn
ontkennend;forlornly
ontkenning;forsake
ontkent;forsaken
ontmenselijken;forswear
ontmenselijking;foul
ontmoedigd;foully
ontmoedigen;foulness
ontmoedigend;fractious
ontmoediging;fractiously
ontnemen;fracture
ontnomen;fragile
ontnuchterend;fragmented
ontoegankelijk;frail
ontoelaatbaar;frantic
ontoereikend;frantically
ontoereikendheid;franticly
ontrafeld;fraud
ontrafelen;fraudulent
ontredderd;fraught
ontregelen;frazzle
ontrouw;frazzled
ontslag;freak
ontslagen;freaking
ontslaggrage;freakish
ontsnapping;freakishly
ontsteken;freaks
ontsteking;freeze
ontstekingsreactie;freezes
ontstoken;freezing
ontvlammen;frenetic
ontvormen;frenetically
ontwapenen;frenzied
ontwijken;frenzy
ontwijkend;fret
ontwijking;fretful
ontworteld;frets
ontwortelen;friction
ontzag;frictions
ontzenuwd;fried
ontzenuwen;friggin
ontzenuwend;frigging
ontzet;fright
ontzetten;frighten
ontzettend;frightening
ontzetting;frighteningly
onuitsprekelijk;frightful
onvast;frightfully
onvastheid;frigid
onveilig;frost
onverantwoordelijk;frown
onverbeterlijk;froze
onverbiddelijk;frozen
onverdedigbaar;fruitless
onverdraagzaamheid;fruitlessly
onverfijnd;frustrate
onvergeeflijk;frustrated
onvergelijkbaar;frustrates
onvergevend;frustrating
onverklaarbaar;frustratingly
onverklaard;frustration
onverlosbaar;frustrations
onvermijdelijk;fuck
onvermogen;fucking
onverschillig;fudge
onverschilligheid;fugitive
onverstaanbaar;full-blown
onverstandig;fulminate
onvervangbaar;fumble
onvervuld;fume
onverwacht;fumes
onverwachte situatie;fundamentalism
onverzadigbaar;funky
onverzekerd;funnily
onverzettelijk;funny
onverzettelijkheid;furious
onverzoenbaar;furiously
onverzoenlijk;furor
onvoldoende;fury
onvolledig;fuss
onvolmaakt;fussy
onvolmaaktheden;fustigate
onvolmaaktheid;fusty
onvolwassen;futile
onvoorbereid;futilely
onvoorspelbaar;futility
onvoorstelbaar;fuzzy
onvoorzichtig;gabble
onvoorzichtigheid;gaff
onvoorzien;gaffe
onvriendelijk;gainsay
onvrijwillig;gainsayer
onvroomheid;gall
onvruchtbaar;galling
onwaarachtig;gallingly
onwaarderen;galls
onwaardig;gangster
onwaargenomen;gape
onwaarheid;garbage
onwaarschijnlijk;garish
onwaarschijnlijkheid;gasp
onwel;gauche
onwelkom;gaudy
onwelsprekend;gawk
onwerkbaar;gawky
onwerkelijk;geezer
onwetend;genocide
onwetendheid;ghastly
onwettig;ghetto
onwettigheid;ghosting
onwillig;gibber
onwilligheid;gibberish
onwrikbaar;gibe
onzedelijk;giddy
onzedelijkheid;gimmick
onzeker;gimmicked
onzekerheid;gimmicking
onzichtbaar;gimmicks
onzin;gimmicky
onzuiver;glare
onzuiverheid;glaringly
oorlogszuchtig;glib
oorverdovend;glibly
opdringerig;glitch
openlijk;glitches
opgeblazen;gloatingly
opgehangen;gloom
opgesloten;gloomy
opgever;glower
opgezwollen;glum
ophef;glut
ophouden;gnawing
opleggen;goad
opleggend;goading
opleggers;god-awful
oplichter;goof
oplichters;goofy
oplichting;gossip
oppervlakkig;graceless
oppervlakkigheid;gracelessly
opportunistisch;graft
opscheppen;grainy
opschepper;grapple
opschepperig;grate
opschudding;grating
opstand;gravely
opstandig;greasy
opvallend;greed
opvlamming;greedy
opvlammingen;grief
opvliegend;grievance
opvlieger;grievances
opwinding;grieve
opzet;grieving
opzichtig;grievous
ordinair;grievously
ouderwets;grim
overbalans;grimace
overbelast;grind
overbenadrukken;gripe
overbetaald;gripes
overblijfselen;grisly
overbodig;gritty
overbodigheid;gross
overdreven;grossly
overdrijft;grotesque
overdrijven;grouch
overgave;grouchy
overgebalanceerd;groundless
overgewaardeerd;grouse
overgewicht;growl
overhaast;grudge
overheersen;grudges
overheersend;grudging
overijverig;grudgingly
overkill;gruesome
overlast;gruesomely
overlopen;gruff
overmoed;grumble
overmoedig;grumpier
overschaduwen;grumpiest
overschrijdingen;grumpily
overspeler;grumpish
overspoeld;grumpy
overspoelen;guile
overstroming;guilt
overtreden;guiltily
overtreder;guilty
overtreding;gullible
overtredingen;gutless
overvallen;gutter
oververeenvoudiging;haggard
oververhitten;haggle
overvloedig;hairloss
overvol;halfhearted
overwaardering;halfheartedly
overweldigd;hallucinate
overweldigen;hallucination
overweldigend;hamper
overzien;hampered
pandemonium;handicapped
paniek;hang
paniekerig;hangs
papperig;haphazard
paradoxaal;hapless
paranoia;harangue
paranoïde;harass
parasiet;harassed
paria;harasses
parodie;harassment
partijdigheid;harboring
partijganger;harbors
partijgangers;hard
pas op;hardball
passief;harden
passiviteit;hardened
patstelling;hardheaded
pedant;hardhearted
per ongeluk;hard-hit
pervers;hard-line
perversiteit;hardliner
pervert;hard-liner
pessimisme;hardliners
pessimistisch;hardship
pesten;hardships
pestend;harm
pestgedrag;harmed
pestilent;harmful
pestkoppen;harms
piekeren;harpy
piekerend;harridan
piepen;harried
piepend;harrow
pijn;harsh
pijnen;harshly
pijniging;hasseling
pijnlijk;hassle
pijnlijkheid;hassled
pijnzen;hassles
pistool;haste
plaag;hastily
plagend;hasty
plagiaat;hate
plakkerig;hated
plasticachtig;hateful
plat;hatefully
plebejers;hatefulness
plechtig;hater
plek;haters
plichtmatig;hates
ploeterde;hating
ploeteren;hatred
ploetert;haughtily
plotseling;haughty
plunderaar;haunt
plunderen;haunting
plundering;havoc
polarisatie;hawkish
polemiseren;haywire
pompeus;hazard
precair;hazardous
preken;haze
pretbederver;hazy
pretentieus;headache
prik;headaches
prikkel;head-aches
prikkelbaar;heartbreaker
prikkels;heartbreaking
primitief;heartbreakingly
probleem;heartless
problematisch;heathen
problemen;heavy-handed
proceslustig;heavyhearted
pronken;heck
propaganda;heckle
propaganderen;heckled
protesten;heckles
protesteren;hectic
protesterend;hedge
provocatie;hedonistic
provocatief;heedless
pruilen;hefty
prutser;hegemonism
prutsers;hegemonistic
puistje;hegemony
racisme;heinous
racist;hell
racisten;hell-bent
radeloos;hellion
radeloosheid;hells
radicaal;helpless
radicalen;helplessly
radicalisering;helplessness
rafelig;heresy
rammelt;heretic
ramp;heretical
rampen;hesitant
rampspoed;hestitant
rampzalig;hideous
rapsodiëren;hideously
raspen;hideousness
raspend;high-priced
rasperen;hiliarious
razen;hinder
razend;hindrance
razernij;hiss
reactionair;hissed
recessie;hissing
recessie-gerelateerd;hoard
rechtsmiddelen;hoax
regressie;hobble
regressief;hogs
relatiebreuken;hollow
remmen;hoodium
remming;hoodwink
respectloos;hooligan
respectloosheid;hopeless
retoriek;hopelessly
retorisch;hopelessness
rigide;horde
rigiditeit;horrendous
rillen;horrendously
rimpel;horrible
rimpels;horrid
risico;horrific
risico's;horrified
risky;horrifies
rivaal;horrify
rivaliteit;horrifying
roddel;horrifys
roddelen;hostage
roekeloos;hostile
roekeloosheid;hostilities
roest;hostility
roesten;hotbeds
roestig;hothead
roken;hotheaded
rommel;hothouse
rommelig;hubris
rommels;huckster
ronduit;hum
roof;humid
roofzuchtig;humiliate
rook;humiliating
rookgordijn;humiliation
rookt;humming
rotjoch;hung
rotsachtig;hurt
rotzooi;hurted
rouw;hurtful
rouwen;hurting
rouwend;hurts
rouwer;hustler
ruiken;hype
ruikend;hypocricy
ruïne;hypocrisy
ruïneren;hypocrite
ruïnes;hypocrites
rumoerig;hypocritical
rusteloos;hypocritically
rusteloosheid;hysteria
ruw;hysteric
ruzie;hysterical
ruzie maken;hysterically
ruzieachtig;hysterics
ruzieën;idiocies
ruziën;idiocy
saai;idiot
sabotage;idiotic
samenspannen;idiotically
samenzweerder;idiots
samenzweerderig;idle
samenzweerders;ignoble
samenzweren;ignominious
samenzwerend;ignominiously
samenzwering;ignominy
samenzweringen;ignorance
sarcasme;ignorant
sarcastisch;ignore
sardonisch;ill-advised
satirisch;ill-conceived
satiriseren;ill-defined
scepticus;ill-designed
sceptisch;illegal
schaamte;illegally
schaamteloos;illegitimate
schaamteloosheid;ill-fated
schaars;ill-favored
schaarste;ill-formed
schade;illicit
schadelijk;illiterate
schades;ill-mannered
schand;ill-natured
schandaal;illness
schandalen;illogic
schandalig;illogical
schandaligheid;illogically
schande;ill-sorted
schandelijk;ill-tempered
schandpaal;ill-treated
scheiden;ill-treatment
scheiding;ill-usage
schel;ill-used
schelden;illusion
scheldwoorden;illusions
schenden;illusory
schender;imaginary
schenders;imbalance
schending;imbecile
scherp;imbroglio
schetsachtig;immaterial
scheur;immature
scheuren;imminence
scheurend;imminently
schijn;immobilized
schijnheilig;immoderate
schilfer;immoderately
schilferend;immodest
schilferig;immoral
schilferigheid;immorality
schimmig;immorally
schimpscheut;immovable
schipbreuk;impair
schitterend;impaired
schittering;impasse
schok;impatience
schokken;impatient
schokkend;impatiently
schokkerig;impeach
schoppen;impedance
schouderophalen;impede
schrammen;impediment
schreeuw;impending
schreeuwen;impenitent
schreeuwerig;imperfect
schrik;imperfection
schrikken;imperfections
schrikwekkend;imperfectly
schril;imperialist
schroothoop;imperil
schubben;imperious
schudden;imperiously
schuin;impermissible
schuld;impersonal
schulden;impertinent
schuldgevoel;impetuous
schuldig;impetuously
schuren;impiety
schurend;impinge
schurk;impious
schurkachtig;implacable
schurken;implausible
schuw;implausibly
self harm;implicate
seniel;implication
sensationaliseren;implode
sentimentaliteit;impolite
sentimenteel;impolitely
shit;impolitic
simplistisch;importunate
sinister;importune
sinisterig;impose
sissen;imposers
sissend;imposing
slaaf;imposition
slaafd;impossible
slaan;impossiblity
slaand;impossibly
slachten;impotent
slachterij;impoverish
slachting;impoverished
slachtingen;impractical
slachtoffer;imprecate
slag;imprecise
slager;imprecisely
slak;imprecision
slap;imprison
slapen;imprisonment
slapend;improbability
slapheid;improbable
slecht;improbably
slechte reputatie;improper
sleept;improperly
slenteren;impropriety
slepen;imprudence
slepend;imprudent
slet;impudence
sletten;impudent
sleur;impudently
slijm;impugn
sloop;impulsive
slopen;impulsively
slordig;impunity
sluipen;impure
sluipend;impurity
slungelig;inability
sluw;inaccuracies
sluwheid;inaccuracy
smakelijk;inaccurate
smaller;inaccurately
smeedde;inaction
smeekbede;inactive
smeekbeden;inadequacy
smeken;inadequate
smeren;inadequately
smerig;inadverent
smet;inadverently
smeulen;inadvisable
smeulend;inadvisably
smoesjes;inane
snauwen;inanely
snauwend;inappropriate
snif;inappropriately
snijden;inapt
snijdend;inaptitude
snob;inarticulate
snobistisch;inattentive
snobs;inaudible
snotaap;incapable
sober;incapably
so-cal;incautious
somber;incendiary
somberheid;incense
spanning;incessant
spatten;incessantly
spierballen;incite
spijt;incitement
spijtelijk;incivility
spijtvol;inclement
splijten;incognizant
splijtend;incoherence
spoken;incoherent
spook;incoherently
spookachtig;incommensurate
spookachtiger;incomparable
spookachtigst;incomparably
spookt;incompatability
spoor;incompatibility
sporadisch;incompatible
sporen;incompetence
spot;incompetent
spoterijen;incompetently
spotten;incomplete
spottend;incompliant
spuug;incomprehensible
stagnatie;incomprehension
stallen;inconceivable
stammen;inconceivably
stank;incongruous
stanks;incongruously
staren;inconsequent
statisch;inconsequential
steek;inconsequentially
steil;inconsequently
steken;inconsiderate
stekend;inconsiderately
stelen;inconsistence
stereotype;inconsistencies
stereotypisch;inconsistency
sterft;inconsistent
sterven;inconsolable
stervend;inconsolably
stervende;inconstant
stevig;inconvenience
stierepoep;inconveniently
stigma;incorrect
stigmatiseren;incorrectly
stijf;incorrigible
stijfheid;incorrigibly
stilstand;incredulous
stilte;incredulously
stinkend;inculcate
stof;indecency
stoffig;indecent
stom;indecently
stomp;indecision
stompt;indecisive
stoofpot;indecisively
stoot;indecorum
storend;indefensible
storing;indelicate
storingen;indeterminable
storm;indeterminably
stormachtig;indeterminate
storten;indifference
stortplaats;indifferent
stortvloed;indigent
stotend;indignant
stotterde;indignantly
stotteren;indignation
stotterend;indignity
stottert;indiscernible
straf;indiscreet
strafbaar;indiscreetly
straffeloosheid;indiscretion
straffen;indiscriminate
streng;indiscriminately
stress;indiscriminating
stressvol;indistinguishable
strijd;indoctrinate
strijdig;indoctrination
strikt;indolent
stront;indulge
stroom;ineffective
struikelen;ineffectively
struikelt;ineffectiveness
stupireren;ineffectual
stupirisme;ineffectually
suïcidaal;ineffectualness
sukkel;inefficacious
symptomen;inefficacy
symptoom;inefficiency
syndroom;inefficient
taaiheid;inefficiently
taboe;inelegance
te laat;inelegant
teef;ineligible
tegendraadsheid;ineloquent
tegenhouden;ineloquently
tegenovergesteld;inept
tegenslag;ineptitude
tegenslagen;ineptly
tegenspoed;inequalities
tegenspraak;inequality
tegenspreken;inequitable
tegenspreker;inequitably
tegenstander;inequities
tegenstanders;inescapable
tegenstrijdig;inescapably
tegenstrijdigheid;inessential
tegenwerken;inevitable
tegenzin;inevitably
tegenzinvol;inexcusable
tekort;inexcusably
tekorten;inexorable
tekortkoming;inexorably
tekortkomingen;inexperience
teleurgesteld;inexperienced
teleurstellen;inexpert
teleurstellend;inexpertly
teleurstelling;inexpiable
temperament;inexplainable
terneergeslagen;inextricable
terreur;inextricably
terreurgenererend;infamous
terroriseren;infamously
terrorisme;infamy
terugdeinzen;infected
teruggetrokken;infection
terugkeren;infections
terugtrekken;inferior
terugval;inferiority
tijdrovend;infernal
timide;infest
tintelend;infested
tirade;infidel
tirades;infidels
tiranniek;infiltrator
tobben;infiltrators
toegegeven;infirm
toegeven;inflame
toegeving;inflammation
toegevingen;inflammatory
toezicht;inflammed
tol;inflated
topzwaar;inflationary
totalitair;inflexible
traag;inflict
tragedie;infraction
tragisch;infringe
tramp;infringement
trauma;infringements
traumatisch;infuriate
traumatiseren;infuriated
travestie;infuriating
travestieën;infuriatingly
treuren;inglorious
treurend;ingrate
treurig;ingratitude
treuzelen;inhibit
trieverend;inhibition
trillen;inhospitable
trillend;inhospitality
trilt;inhuman
trio;inhumane
triviaal;inhumanity
trivialiseren;inimical
troebel;inimically
troosteloos;iniquitous
trots;iniquity
trotseren;injudicious
truc;injure
trucjes;injurious
tuchtigen;injury
tuchtiging;injustice
tuimelde;injustices
tuimelen;innuendo
tuimelt;inoperable
tumultueus;inopportune
turbulent;inordinate
tweede;inordinately
tweederangs;insane
tweeslachtig;insanely
twijfel;insanity
twijfelachtig;insatiable
twijfelend;insecure
twijfels;insecurity
twistbaar;insensible
uitbarsting;insensitive
uitbarstingen;insensitively
uitbraak;insensitivity
uitbuiten;insidious
uitbuiting;insidiously
uitdagen;insignificance
uitdagend;insignificant
uitdoven;insignificantly
uitdrijven;insincere
uitdrogen;insincerely
uiteengereden;insincerity
uitflappen;insinuate
uitgedroogd;insinuating
uitgehongerd;insinuation
uitgelaten;insociable
uitgemagerd;insolence
uitgemergeld;insolent
uitgeput;insolently
uitgespuwd;insolvent
uitgevend;insouciance
uitgewist;instability
uithongeren;instable
uitlaatklep;instigate
uitlappen;instigator
uitlokken;instigators
uitputten;insubordinate
uitroeien;insubstantial
uitroepen;insubstantially
uitschakelen;insufferable
uitsluiting;insufferably
uitspuwen;insufficiency
uitspuwend;insufficient
uitstel;insufficiently
uitstelgedrag;insular
uitstellen;insult
uitstoten;insulted
uitwerken;insulting
uitwissen;insultingly
ultimatum;insults
ultimatums;insupportable
unilateralisme;insupportably
unipolair;insurmountable
urgent;insurmountably
usurpator;insurrection
usurperen;intefere
vaag;inteferes
vaagheid;intense
val;interfere
vallen;interference
vallend;interferes
vals;intermittent
valstrik;interrupt
valt;interruption
varken;interruptions
varkens;intimidate
vastberaden;intimidating
vastgehaakt;intimidatingly
vasthoudend;intimidation
vastzitten;intolerable
vatbaar;intolerablely
vegen;intolerance
veinzen;intoxicate
veracht;intractable
verachtelijk;intransigence
verachten;intransigent
verachtend;intrude
verachting;intrusion
verafschuwd;intrusive
verafschuwelijk;inundate
verafschuwen;inundated
verafschuwend;invader
verafschuwt;invalid
verarmd;invalidate
verarmen;invalidity
verbann;invasive
verbannen;invective
verbanning;inveigle
verbergen;invidious
verbeuren;invidiously
verbieden;invidiousness
verbijsterd;invisible
verbijsteren;involuntarily
verbijsterend;involuntary
verbijstering;irascible
verbitteren;irate
verblindend;irately
verboden;ire
verbrand;irk
verbranden;irked
verbrandt;irking
verbrijzelen;irks
verdacht;irksome
verdachtmaking;irksomely
verdachtmakingen;irksomeness
verdedigend;irksomenesses
verdeeldheid;ironic
verdoemd;ironical
verdoemend;ironically
verdomd;ironies
verdomme;irony
verdoofd;irragularity
verdorven;irrational
verdraaien;irrationalities
verdraaiingen;irrationality
verdriet;irrationally
verdrietig;irrationals
verdrijven;irreconcilable
verdrinken;irrecoverable
verduisterd;irrecoverableness
verduisteren;irrecoverablenesses
verduistert;irrecoverably
verdwaald;irredeemable
verergeren;irredeemably
verergerend;irreformable
verergering;irregular
verfoeien;irregularity
verfrommeld;irrelevance
verfrommelt;irrelevant
vergaan;irreparable
vergaat;irreplacible
vergeetachtig;irrepressible
vergeetachtigheid;irresolute
vergeldend;irresolvable
vergezocht;irresponsible
verging;irresponsibly
vergissing;irretating
vergissingen;irretrievable
vergoedkopen;irreversible
verkeerd;irritable
verkeerde;irritably
verkiezingsfraudeur;irritant
verklaren;irritate
verknald;irritated
verknaller;irritating
verknoeien;irritation
verkracht;irritations
verkrachting;isolate
verkrampt;isolated
verkwisten;isolation
verlamd;issue
verlammen;issues
verlammend;itch
verlangen;itching
verlangend;itchy
verlaten;jabber
verlatenheid;jaded
verlegen;jagged
verlegenheid;jam
verleiden;jarring
verleiding;jaundiced
verliefd;jealous
verlies;jealously
verliest;jealousness
verliezen;jealousy
verliezer;jeer
verliezers;jeering
verlopen;jeeringly
verloren;jeers
verlorenheden;jeopardize
vermanen;jeopardy
vermanend;jerk
vermijden;jerky
vermindering;jitter
verminken;jitters
verminking;jittery
vermoeden;jobless
vermoedens;joke
vermoeid;joker
vermoeidheid;jolt
vermoeien;judder
vermoeiend;juddering
vermoorden;judders
vernederaar;jumpy
vernederd;junk
vernederen;junky
vernederend;junkyard
vernedering;jutter
vernield;jutters
vernietigd;kaput
vernietigen;kill
vernietigend;killed
vernietiger;killer
vernietiging;killing
verongelukt;killjoy
verontreinigd;kills
verontreinigen;knave
verontreiniging;knife
verontreinigt;knock
verontrust;knotted
verontrusten;kook
verontrustend;kooky
verontschuldigers;lack
verontwaardigd;lackadaisical
verontwaardiging;lacked
verontwaardigt;lackey
veroordeelbaar;lackeys
veroordeeld;lacking
veroordeelt;lackluster
veroordelbaar;lacks
veroordelen;laconic
veroordeling;lag
veroorzaakt;lagged
verouderd;lagging
verpest;laggy
verplaatsen;lags
verplaatst;laid-off
verpletterd;lambast
verpletteren;lambaste
verpletterend;lame
verplettert;lame-duck
verraad;lament
verraadplegers;lamentable
verraadt;lamentably
verradelijk;languid
verraden;languish
verradend;languor
verrader;languorous
verraderlijk;languorously
verrot;lanky
verrotten;lapse
verschrikkelijk;lapsed
verschrikkelijkheid;lapses
verschrikken;lascivious
verschrikt;last-ditch
verschrompelen;latency
verslaafd;laughable
verslaafden;laughably
verslavend;laughingstock
verslechteren;lawbreaker
verslechterend;lawbreaking
verslechtering;lawless
versleten;lawlessness
versnipperd;layoff
verspild;layoff-happy
verspillend;lazy
verspilling;leak
versteend;leakage
verstenen;leakages
verstikken;leaking
verstikkend;leaks
verstoken;leaky
verstoord;lech
verstopping;lecher
verstoppingen;lecherous
verstopt;lechery
verstoren;leech
verstorend;leer
verstoring;leery
verstrikt;left-leaning
verstrooid;lemon
versuft;lengthy
verteren;less-developed
vertraagd;lesser-known
vertragen;letch
vertragend;lethal
vertraging;lethargic
vertragingen;lethargy
vertrappen;lewd
vertroebelen;lewdly
vervaagd;lewdness
vervaagt;liability
vervagen;liable
verval;liar
vervalgraad;liars
vervallen;licentious
vervalsen;licentiously
vervalsing;licentiousness
vervalst;lie
verveeld;lied
verveelt;lier
vervelen;lies
vervelend;lifeless
verveling;life-threatening
vervloekt;limit
vervloekte;limitation
vervolgen;limitations
vervolging;limited
vervormd;limits
vervormen;limp
vervormingen;listless
vervormt;litigious
vervreemd;little-known
vervreemden;livid
vervreemding;lividly
vervuilen;loath
vervuilend;loathe
vervuiler;loathing
vervuilers;loathly
vervuiling;loathsome
verwaand;loathsomely
verwaandheid;lone
verwaarloosd;loneliness
verwaarlozen;lonely
verward;loner
verwarren;lonesome
verwarrend;longing
verwarring;longingly
verwarringen;long-time
verwart;long-winded
verwatering;loophole
verwelken;loopholes
verwerpelijk;loose
verwerpen;loot
verwerping;lorn
verwerpt;lose
verwijt;loser
verwijtbaar;losers
verwijten;loses
verwijtend;losing
verwikkeld;loss
verwoest;losses
verwoesten;lost
verwoestend;loud
verwoesting;louder
verwonden;lousy
verzadiging;loveless
verzaken;lovelorn
verzakt;lowly
verzengend;low-rated
verzet;ludicrous
verzinnen;ludicrously
verzonken;lugubrious
verzwakken;lukewarm
verzwakkend;lull
verzwakking;lumpy
vettig;lunatic
vies;lunaticism
viesheid;lurch
viezer;lure
vijand;lurid
vijanden;lurk
vijandig;lurking
vijandigheden;lying
vijandigheid;macabre
vijandschap;mad
virulent;madden
virulentie;maddening
virus;maddeningly
vleien;madder
vleier;madly
vleierij;madman
vleiers;madness
vlek;maladjusted
vlekken;maladjustment
vlekkerig;malady
vloek;malaise
vloeken;malcontent
vloekend;malcontented
vloekt;maledict
